title,score,score_phrase,platform,genre,release_year,release_month,release_day
Dive: The Medes Islands Secret,7.5,Good,Wii,Adventure,2010,8,2
Divinity II: The Dragon Knight Saga,7.5,Good,Xbox 360,RPG,2011,4,19
DoReMi Fantasy: Milon's DokiDoki Adventure,7.5,Good,Wii,Platformer,2008,3,10
Dokapon: Monster Hunter,7.5,Good,Game Boy Advance,RPG,2001,11,28
Don't Starve,7.5,Good,PC,Adventure,2014,1,14
Don't Starve,7.5,Good,PlayStation 4,Adventure,2014,1,14
Donkey Kong Country 3,7.5,Good,Game Boy Advance,Platformer,2005,11,8
Doom II,7.5,Good,Xbox 360,Shooter,2010,5,27
DotMan,7.5,Good,Nintendo DSi,Racing,2011,9,8
Double Dragon,7.5,Good,Wii,"Fighting, Action",2008,4,28
Double Dragon,7.5,Good,NES,Action,2008,4,28
Dr. Luigi,7.5,Good,Wii U,Puzzle,2014,1,10
Dr. Mario Express,7.5,Good,Nintendo DSi,Puzzle,2009,4,20
Dr. Robotnik's Mean Bean Machine,7.5,Good,Wii,Puzzle,2006,12,11
Dr. Robotnik's Mean Bean Machine,7.5,Good,Genesis,Puzzle,2006,12,11
Dragon Age: Inquisition -- Jaws of Hakkon,7.5,Good,Xbox One,RPG,2015,3,26
Dragon Ball Advanced Adventure,7.5,Good,Game Boy Advance,Action,2006,7,14
Dragon Ball Z Budokai 2,7.5,Good,GameCube,Fighting,2005,2,2
Dragon Ball Z: Harukanaru Densetsu,7.5,Good,Nintendo DS,"Card, RPG",2007,6,18
Dragon Ball Z: Supersonic Warriors,7.5,Good,Game Boy Advance,Fighting,2004,6,22
Dragon Ball Z: Supersonic Warriors 2,7.5,Good,Nintendo DS,Action,2006,1,26
Dragon Ball Z: Ultimate Tenkaichi,7.5,Good,PlayStation 3,Action,2011,10,25
Dragon Ball Z: Ultimate Tenkaichi,7.5,Good,Xbox 360,Action,2011,10,25
Dragon Ball: Origins 2,7.5,Good,Nintendo DS,"Action, RPG",2010,7,28
Dragon Flight,7.5,Good,Wireless,Shooter,2003,10,24
Dragon's Curse,7.5,Good,TurboGrafx-16,Action,2007,4,11
Dragon's Curse,7.5,Good,Wii,Adventure,2007,4,11
Dragon's Dogma,7.5,Good,PlayStation 3,"Action, RPG",2012,5,21
Dragon's Dogma,7.5,Good,Xbox 360,RPG,2012,5,21
Drawn to Life: SpongeBob SquarePants Edition,7.5,Good,Nintendo DS,Action,2008,9,19
Drawn: Dark Flight,7.5,Good,PC,Adventure,2010,9,1
Dreamfall: The Longest Journey,7.5,Good,Xbox,Adventure,2006,4,17
Droplitz,7.5,Good,Xbox 360,Puzzle,2009,6,22
Droplitz,7.5,Good,PlayStation 3,Puzzle,2009,6,22
Droplitz,7.5,Good,PC,Puzzle,2009,7,14
Duel Masters: Kaijudo Showdown,7.5,Good,Game Boy Advance,"Card, Battle",2004,12,2
Dungeon Solitaire,7.5,Good,iPhone,Card,2010,3,2
Dungeons & Dragons Online: Stormreach,7.5,Good,PC,RPG,2006,3,22
Dungeons & Dragons: The Temple of Elemental Evil -- A Classic Greyhawk Adventure,7.5,Good,PC,RPG,2003,9,22
Dynamite Headdy,7.5,Good,Wii,Platformer,2007,8,1
Dynamite Headdy,7.5,Good,Genesis,Platformer,2007,8,1
Dynasty Warriors 7: Empires,7.5,Good,PlayStation 3,Action,2013,2,22
ESPN International Track & Field,7.5,Good,PlayStation 2,Sports,2000,11,6
Ehrgeiz: God Bless the Ring,7.5,Good,PlayStation,Fighting,1999,5,5
Eliminate: GunRange,7.5,Good,iPhone,Shooter,2010,6,29
Eragon,7.5,Good,Game Boy Advance,RPG,2006,12,1
Europa Universalis: Rome -- Vae Victis,7.5,Good,PC,Strategy,2008,12,1
EverQuest: Hero's Call 2,7.5,Good,Wireless,RPG,2004,4,30
EyeToy: Groove,7.5,Good,PlayStation 2,Party,2004,4,20
F-Zero,7.5,Good,Wii,Racing,2007,1,26
F-Zero,7.5,Good,Super NES,Racing,2007,1,26
F1 Racing Championship,7.5,Good,PlayStation,Racing,2000,9,20
FIFA Soccer 2005 Mobile International Edition,7.5,Good,Wireless,Sports,2005,2,7
Fallout 3 -- The Pitt,7.5,Good,Xbox 360,"Action, RPG",2009,3,27
Fallout 3 -- The Pitt,7.5,Good,PC,"Action, RPG",2009,3,31
Fallout 3 -- The Pitt,7.5,Good,PlayStation 3,"Action, RPG",2009,10,5
Fallout 4: Automatron,7.5,Good,PC,RPG,2016,3,24
Fallout: Brotherhood of Steel,7.5,Good,Xbox,"Action, RPG",2004,1,13
Fallout: Brotherhood of Steel,7.5,Good,PlayStation 2,"Action, RPG",2004,1,13
Fallout: New Vegas -- Honest Hearts,7.5,Good,Xbox 360,RPG,2011,5,18
Fallout: New Vegas -- Honest Hearts,7.5,Good,PC,RPG,2011,5,18
Fallout: New Vegas -- Honest Hearts,7.5,Good,PlayStation 3,RPG,2011,6,13
Family Feud: 2010 Edition,7.5,Good,PlayStation 3,Trivia,2010,7,7
Fantastic Pets,7.5,Good,Xbox 360,Virtual Pet,2011,5,2
Far Cry 2,7.5,Good,Wireless,Shooter,2008,12,11
Fatal Fury 2,7.5,Good,Wii,Fighting,2008,8,5
Fatal Fury 3: Road to the Final Victory,7.5,Good,Wii,Fighting,2010,10,11
Fates Forever,7.5,Good,iPad,RPG,2014,8,5
Fieldrunners,7.5,Good,PlayStation Portable,Strategy,2009,10,1
Fieldrunners,7.5,Good,Nintendo DSi,Strategy,2010,2,9
Fighter Maker 2,7.5,Good,PlayStation 2,Fighting,2002,11,18
Final Fantasy Crystal Chronicles: My Life as a King,7.5,Good,Wii,Adventure,2008,5,14
Final Fantasy XI: Chains of Promathia,7.5,Good,PC,RPG,2004,9,28
Fire Pro Wrestling,7.5,Good,Game Boy Advance,Wrestling,2001,6,14
FireStarter,7.5,Good,PC,Shooter,2004,3,15
FlatOut [2005],7.5,Good,PlayStation 2,"Racing, Action",2005,7,15
FlatOut [2005],7.5,Good,Xbox,"Racing, Action",2005,7,15
Fleck,7.5,Good,iPhone,Puzzle,2008,10,6
Flipper,7.5,Good,Nintendo DSi,Platformer,2010,3,1
Floe: A Little Bear Needs Your Help,7.5,Good,iPhone,Platformer,2011,1,13
Football Manager Classic 2014,7.5,Good,PlayStation Vita,"Sports, Simulation",2014,4,11
Fortix 2,7.5,Good,PC,Action,2011,5,24
Fossil Fighters: Champions,7.5,Good,Nintendo DS,Battle,2011,11,16
FoxKids.com Micro Maniacs Racing,7.5,Good,PlayStation,Racing,2000,10,20
Freekscape: Escape from Hell,7.5,Good,PlayStation Portable,Platformer,2010,4,12
From the Abyss,7.5,Good,Nintendo DS,RPG,2008,8,22
Furry Legends: Beginnings,7.5,Good,Nintendo DSi,Platformer,2011,10,13
G-Force,7.5,Good,iPhone,Action,2009,7,28
Gabrielle's Ghostly Groove 3D,7.5,Good,Nintendo 3DS,Adventure,2011,10,13
Gain Ground,7.5,Good,Wii,Action,2007,2,8
Gain Ground,7.5,Good,Genesis,Action,2007,2,8
Galaga,7.5,Good,NES,Shooter,2007,4,18
Galaga,7.5,Good,Wii,Shooter,2007,4,18
Galaga,7.5,Good,NES,Shooter,2007,4,18
Galaga (25th Anniversary Edition),7.5,Good,Wireless,Shooter,2006,8,3
Galaga Remix,7.5,Good,iPhone,Shooter,2009,4,8
Galerians,7.5,Good,PlayStation,Action,2000,4,5
Game & Watch: Donkey Kong Jr.,7.5,Good,Nintendo DSi,Action,2010,5,13
Gangstar: Miami Vindication,7.5,Good,iPhone,Action,2010,9,23
Gears of War 3: Raam's Shadow,7.5,Good,Xbox 360,Shooter,2011,12,13
Geometry Wars: Retro Evolved Mobile,7.5,Good,Wireless,Shooter,2007,7,20
Geometry Wars: Touch,7.5,Good,iPad,Shooter,2010,4,3
Geon,7.5,Good,PlayStation 3,"Puzzle, Action",2008,10,6
Ghost Manor,7.5,Good,Atari 2600,Adventure,2008,3,17
Ghost Mansion Party,7.5,Good,Wii,Adventure,2009,11,2
Ghost Squad,7.5,Good,Wii,Shooter,2007,11,20
Ghosts 'N Goblins [2006],7.5,Good,Wireless,Action,2006,3,10
Ghouls 'N Ghosts,7.5,Good,Genesis,Action,2007,9,14
Ghouls 'N Ghosts,7.5,Good,Wii,Action,2007,9,14
Gley Lancer,7.5,Good,Wii,Shooter,2008,8,14
Glory Days: Tactical Defense,7.5,Good,Nintendo DSi,Strategy,2011,1,21
Golden Axe,7.5,Good,Xbox 360,Action,2007,7,17
Golden Sun: Dark Dawn,7.5,Good,Nintendo DS,RPG,2010,11,22
Gradius Galaxies,7.5,Good,Game Boy Advance,Action,2001,11,28
Grand Theft Auto III,7.5,Good,iPhone,"Action, Adventure",2011,12,19
Grand Theft Auto: London 1969,7.5,Good,PlayStation,Action,1999,5,10
Grand Theft Auto: Vice City Stories,7.5,Good,PlayStation 2,Action,2007,3,6
Grandia Xtreme,7.5,Good,PlayStation 2,RPG,2002,9,30
Gravity Crash Portable,7.5,Good,PlayStation Portable,Shooter,2010,7,23
Gravity Rush,7.5,Good,PlayStation Vita,Action,2012,5,24
Gray Matter,7.5,Good,PC,Adventure,2011,4,27
Greg Hastings' Tournament Paintball Max'd,7.5,Good,Xbox,Shooter,2005,10,31
Gretzky NHL,7.5,Good,PlayStation Portable,Sports,2005,3,21
GripShift,7.5,Good,PlayStation Portable,"Racing, Action",2005,9,13
Groovin' Blocks,7.5,Good,PlayStation 3,Puzzle,2010,3,19
Guardians of Middle-earth,7.5,Good,Xbox 360,Battle,2012,12,14
Guardians of Middle-earth,7.5,Good,PlayStation 3,Battle,2012,12,14
Guilty Gear Judgment,7.5,Good,PlayStation Portable,Fighting,2006,9,23
Guitar Hero [iPhone],7.5,Good,iPhone,Music,2010,6,8
Guitar Legend: Get On Stage,7.5,Good,Wireless,Music,2007,8,28
Gunslinger,7.5,Good,Wireless,Action,2007,5,21
Half-Life: Opposing Force,7.5,Good,PC,Action,1999,11,24
Halo 2,7.5,Good,PC,Shooter,2007,6,5
Hamlet,7.5,Good,PC,Adventure,2010,4,8
Hard Reset,7.5,Good,PC,Shooter,2011,9,13
Harry Potter and the Goblet of Fire,7.5,Good,PlayStation Portable,"Action, Adventure",2005,11,10
Harry Potter and the Half-Blood Prince,7.5,Good,PC,Action,2009,7,2
Harvest Moon: Animal Parade,7.5,Good,Wii,Simulation,2009,11,20
Harvest Moon: Another Wonderful Life,7.5,Good,GameCube,RPG,2005,8,8
Harvest Moon: Back to Nature,7.5,Good,PlayStation,RPG,2000,11,27
Harvest Moon: Hero of Leaf Valley,7.5,Good,PlayStation Portable,Simulation,2010,5,18
Hasbro Family Game Night: Connect Four,7.5,Good,Xbox 360,Board,2009,3,17
Hasbro Family Game Night: Sorry! Sliders,7.5,Good,Xbox 360,Board,2009,6,29
Hearts Spades Euchre,7.5,Good,Nintendo DSi,Card,2011,6,30
Heavy Metal: Geomatrix,7.5,Good,Dreamcast,Shooter,2001,10,11
Heavy Rain,7.5,Good,PlayStation 4,Adventure,2016,3,4
Hector: Badge of Carnage -- Episode 1: We Negotiate with Terrorists,7.5,Good,PC,Adventure,2011,5,10
Hector: Badge of Carnage -- Episode 1: We Negotiate with Terrorists,7.5,Good,iPad,Adventure,2011,5,13
Hector: Badge of Carnage -- Episode 2,7.5,Good,PC,Adventure,2011,8,31
Hector: Badge of Carnage -- Episode 2,7.5,Good,iPad,Adventure,2011,8,31
Herdy Gerdy,7.5,Good,PlayStation 2,Adventure,2002,3,13
Hero of Sparta II,7.5,Good,iPhone,Action,2010,7,29
Hexic HD,7.5,Good,Xbox 360,Puzzle,2005,11,21
Hi! Hamtaro Ham-Ham Challenge,7.5,Good,Nintendo DS,Educational,2008,12,17
High School Musical: Makin' the Cut!,7.5,Good,Nintendo DS,Music,2007,8,14
High Velocity Bowling (PSN Edition),7.5,Good,PlayStation 3,Sports,2007,11,19
Highborn,7.5,Good,iPhone,Strategy,2010,6,2
Hills and Rivers Remain,7.5,Good,iPhone,Strategy,2009,11,30
Hitman: Codename 47,7.5,Good,PC,Action,2000,11,30
Hoard,7.5,Good,PC,Action,2011,4,5
Hot Shots Golf 2,7.5,Good,PlayStation Portable,Sports,2007,2,21
Hunting Unlimited,7.5,Good,PC,Action,2002,2,19
I Am Setsuna,7.5,Good,PlayStation 4,RPG,2016,7,21
"I, Robot",7.5,Good,Wireless,Action,2004,7,2
Ice Age 2: The Meltdown,7.5,Good,Wii,Action,2006,12,11
Imagine: Party Babyz,7.5,Good,Wii,"Educational, Simulation",2008,12,8
Imagine: Teacher,7.5,Good,Nintendo DS,Simulation,2008,9,4
In the Groove,7.5,Good,PlayStation 2,Music,2005,6,13
Inazuma Eleven,7.5,Good,Nintendo DS,"Sports, Simulation",2011,8,25
Independence Day,7.5,Good,Wireless,Flight,2005,8,17
Infamous: Festival of Blood,7.5,Good,PlayStation 3,Action,2011,10,27
Infamous: First Light,7.5,Good,PlayStation 4,Action,2014,8,26
Insecticide Episode 1,7.5,Good,PC,"Action, Adventure",2008,7,3
Insurgency,7.5,Good,PC,Shooter,2014,1,28
Inuyasha,7.5,Good,Wireless,Action,2005,3,7
Invizimals,7.5,Good,PlayStation Portable,Action,2010,10,12
Iron Aces,7.5,Good,Dreamcast,Action,2001,2,14
Ivy the Kiwi,7.5,Good,Nintendo DS,Platformer,2010,9,1
Ivy the Kiwi,7.5,Good,Wii,Platformer,2010,9,1
JAMDAT Sudoku,7.5,Good,Wireless,Puzzle,2006,3,30
Jack Keane,7.5,Good,PC,Adventure,2008,4,28
Jazz: Trump's Journey,7.5,Good,iPhone,Platformer,2012,1,25
Jeremy McGrath's Offroad,7.5,Good,PlayStation 3,Racing,2012,6,27
Jeremy McGrath's Offroad,7.5,Good,Xbox 360,Racing,2012,6,27
Jet Set Radio,7.5,Good,PlayStation Vita,Action,2012,9,17
Jet Set Radio,7.5,Good,PlayStation 3,Action,2012,9,17
Jet Set Radio,7.5,Good,Xbox 360,Action,2012,9,17
Joust,7.5,Good,Xbox 360,Action,2005,12,2
Jungle Bloxx,7.5,Good,iPhone,Puzzle,2009,7,10
Just Dance 2014,7.5,Good,Xbox 360,Music,2013,10,11
Just Dance 2014,7.5,Good,PlayStation 4,Music,2013,11,21
Just Jam,7.5,Good,Wii,Music,2011,7,7
Kasparov Chess,7.5,Good,Wireless,Board,2007,2,26
Killing Floor,7.5,Good,PC,Shooter,2009,5,20
Killzone,7.5,Good,PlayStation 2,Shooter,2004,10,29
Kirby 64: The Crystal Shards,7.5,Good,Wii,Platformer,2008,2,25
Kirby's Avalanche,7.5,Good,Super NES,Puzzle,2007,9,26
Kirby's Avalanche,7.5,Good,Wii,Puzzle,2007,9,26
Kirby's Dream Course,7.5,Good,Wii,"Sports, Action",2007,7,31
Kirby's Dream Course,7.5,Good,Super NES,"Sports, Action",2007,7,31
Kirby's Return to Dream Land,7.5,Good,Wii,Platformer,2011,10,24
Kung Fu Panda,7.5,Good,PlayStation 3,"Action, Adventure",2008,6,9
Kung Fu Panda,7.5,Good,Xbox 360,"Action, Adventure",2008,6,9
Kung Fu Panda,7.5,Good,Wireless,Action,2008,6,6
Kung Fu Panda,7.5,Good,Wii,Action,2008,6,10
Kung Fu Panda,7.5,Good,PlayStation 2,Action,2008,6,10
Kung Fu Panda,7.5,Good,Nintendo DS,Action,2008,6,9
Kya: Dark Lineage,7.5,Good,PlayStation 2,"Action, Adventure",2003,11,20
Kyotokei,7.5,Good,Wii,"Action, Adventure",2011,8,11
LEGO Pirates of the Caribbean: The Video Game,7.5,Good,Xbox 360,Adventure,2011,5,10
LEGO Pirates of the Caribbean: The Video Game,7.5,Good,PlayStation 3,Adventure,2011,5,10
LEGO Pirates of the Caribbean: The Video Game,7.5,Good,PlayStation Portable,Adventure,2011,5,17
LEGO Pirates of the Caribbean: The Video Game,7.5,Good,Wii,Adventure,2011,5,11
LEGO Pirates of the Caribbean: The Video Game,7.5,Good,Nintendo DS,Adventure,2011,5,11
LEGO Racers,7.5,Good,Nintendo 64,Racing,1999,10,26
LEGO Racers,7.5,Good,Nintendo 64,Racing,1999,10,26
LEGO Star Wars III: The Clone Wars,7.5,Good,Xbox 360,"Action, Adventure",2011,3,22
LEGO Star Wars III: The Clone Wars,7.5,Good,PlayStation 3,"Action, Adventure",2011,3,22
LEGO Star Wars III: The Clone Wars,7.5,Good,PC,"Action, Adventure",2011,3,23
LOL,7.5,Good,Nintendo DS,Party,2008,6,9
Landstalker: The Treasures of King Nole,7.5,Good,Wii,"Action, RPG",2007,9,13
Landstalker: The Treasures of King Nole,7.5,Good,Genesis,RPG,2007,9,13
Law & Order: Celebrity Betrayal,7.5,Good,Wireless,Adventure,2008,3,27
Legaia 2: Duel Saga,7.5,Good,PlayStation 2,RPG,2002,10,15
Legend of Kay,7.5,Good,PlayStation 2,"Action, Adventure",2005,9,21
Lemmings,7.5,Good,PlayStation 3,Puzzle,2006,12,15
Let's Golf,7.5,Good,Android,Sports,2010,7,15
Let's Yoga,7.5,Good,Nintendo DS,Productivity,2008,5,16
Lilt Line,7.5,Good,Wii,Music,2010,12,15
Links 2004,7.5,Good,Xbox,Sports,2003,11,26
Lips: Number One Hits,7.5,Good,Xbox 360,Music,2009,10,22
Loaded,7.5,Good,PlayStation,Shooter,1996,11,25
LocoRoco Midnight Carnival,7.5,Good,PlayStation Portable,"Puzzle, Action",2009,11,20
Lord of the Rings: Middle-earth Defense,7.5,Good,iPhone,Strategy,2010,12,7
Lost Planet: Extreme Condition -- Colonies Edition,7.5,Good,Xbox 360,Action,2008,6,3
Lost Planet: Extreme Condition -- Colonies Edition,7.5,Good,PC,Action,2008,6,13
Lost in Shadow,7.5,Good,Wii,Platformer,2011,1,4
Luminous Arc,7.5,Good,Nintendo DS,Strategy,2007,8,15
Lunar: Silver Star Story Complete (Four Disc Collector's Edition),7.5,Good,PlayStation,RPG,1999,6,14
Luxor 2,7.5,Good,Wireless,Puzzle,2007,11,19
Luxor 3,7.5,Good,PC,Puzzle,2008,12,17
MERCS,7.5,Good,Genesis,Shooter,2009,2,9
MERCS,7.5,Good,Wii,Shooter,2009,2,9
MLB 09: The Show,7.5,Good,PlayStation Portable,Sports,2009,3,9
MLB Bobblehead Pros,7.5,Good,Xbox 360,"Sports, Action",2011,7,8
MVP Baseball,7.5,Good,PlayStation Portable,Sports,2005,5,27
MX 2002 Featuring Ricky Carmichael,7.5,Good,Xbox,Racing,2001,12,5
MX vs. ATV Unleashed,7.5,Good,PC,Racing,2006,2,15
Madballs in Babo: Invasion,7.5,Good,Xbox 360,Shooter,2009,7,13
Madden NFL 06 (2D Edition),7.5,Good,Wireless,Sports,2005,11,10
Madden NFL 07,7.5,Good,Game Boy Advance,Sports,2006,11,9
Madden NFL 11,7.5,Good,Wii,Sports,2010,8,11
Mage Gauntlet,7.5,Good,iPhone,"Action, RPG",2011,10,20
Magic Carpet,7.5,Good,PlayStation,Action,1996,11,25
Magic Orbz,7.5,Good,PlayStation 3,Action,2009,1,16
Magic: The Gathering -- Duels of the Planeswalkers,7.5,Good,PC,"Card, Battle",2010,6,23
Magic: The Gathering Online,7.5,Good,PC,Card,2002,7,3
Magical Starsign,7.5,Good,Nintendo DS,RPG,2006,10,26
Magician's Quest: Mysterious Times,7.5,Good,Nintendo DS,Adventure,2009,5,19
Magnetis,7.5,Good,Wii,Puzzle,2009,12,10
Magnetis,7.5,Good,PC,Puzzle,2010,1,13
Mah Jong Quest,7.5,Good,Wireless,Puzzle,2007,11,7
Majestic,7.5,Good,PC,Adventure,2001,8,17
Majesty 2: The Fantasy Kingdom Sim,7.5,Good,PC,Strategy,2009,9,15
Manhunt 2,7.5,Good,PlayStation 2,Action,2007,10,29
Manhunt 2,7.5,Good,PlayStation Portable,Action,2007,10,29
Mario & Sonic at the London 2012 Olympic Games,7.5,Good,Wii,Sports,2011,11,23
Mario & Sonic at the Olympic Winter Games,7.5,Good,Nintendo DS,Sports,2009,10,19
Marvel Super Heroes vs. Street Fighter,7.5,Good,PlayStation,Fighting,1999,2,25
Marvel vs. Capcom: Clash of Super Heroes,7.5,Good,PlayStation,Fighting,2000,2,10
Mass Effect 2: Kasumi's Stolen Memory,7.5,Good,PC,RPG,2010,4,7
Mass Effect 2: Kasumi's Stolen Memory,7.5,Good,Xbox 360,RPG,2010,4,7
Mass Effect 3: Leviathan,7.5,Good,Xbox 360,RPG,2012,8,31
Mass Effect 3: Leviathan,7.5,Good,PlayStation 3,RPG,2012,8,31
Mass Effect 3: Leviathan,7.5,Good,PC,RPG,2012,8,31
Matchmaker: Love U,7.5,Good,Wireless,Simulation,2008,3,27
Medal of Honor: Rising Sun,7.5,Good,GameCube,Shooter,2003,11,10
Medal of Honor: Rising Sun,7.5,Good,Xbox,Shooter,2003,11,10
Mega Man,7.5,Good,Wireless,Action,2006,2,3
Mega Man 3,7.5,Good,Wireless,Action,2008,10,27
Mega Man Zero 4,7.5,Good,Game Boy Advance,Action,2005,10,18
Mega Man: Dr. Wily's Revenge,7.5,Good,Nintendo 3DS,Action,2011,9,15
Mega Turrican,7.5,Good,Wii,Action,2008,4,23
Mega Turrican,7.5,Good,Genesis,Action,2008,4,23
Mercury Meltdown Revolution,7.5,Good,Wii,"Puzzle, Action",2007,10,17
Messiah,7.5,Good,PC,Action,2000,4,7
Metal Marines,7.5,Good,Super NES,Strategy,2007,11,1
Metal Marines,7.5,Good,Wii,Strategy,2007,11,1
Metal Slug 2,7.5,Good,Wii,Action,2009,1,30
Metal Slug 2,7.5,Good,NeoGeo,Action,2009,1,30
Metal Slug Anthology,7.5,Good,PlayStation Portable,"Action, Compilation",2007,2,27
Midnight Pool,7.5,Good,iPhone,Sports,2008,11,14
Midway's Greatest Arcade Hits Volume I,7.5,Good,Dreamcast,Compilation,2000,7,11
Mighty Gunvolt,7.5,Good,Nintendo 3DS,Action,2014,8,28
Military Madness [1990],7.5,Good,Wii,Strategy,2007,2,14
Military Madness [1990],7.5,Good,TurboGrafx-16,Strategy,2007,2,14
Minecraft -- Pocket Edition,7.5,Good,iPhone,Action,2014,2,13
Minecraft -- Pocket Edition,7.5,Good,Android,Action,2014,2,13
Minestorm,7.5,Good,Vectrex,Action,2008,6,26
Mini Golf 99 Holes Theme Park,7.5,Good,iPhone,Sports,2009,4,17
Mister Mosquito,7.5,Good,PlayStation 2,Action,2002,3,14
Monopoly Casino,7.5,Good,PC,Puzzle,1999,12,16
Monopoly Streets,7.5,Good,Xbox 360,Board,2010,11,5
Monopoly Streets,7.5,Good,PlayStation 3,Board,2010,11,2
Monopoly: Here & Now [2006],7.5,Good,Wireless,Board,2006,11,1
Monster Lair,7.5,Good,Wii,Action,2008,1,24
Monster Lair,7.5,Good,TurboGrafx-CD,Platformer,2008,1,24
Monster Truck Madness,7.5,Good,Game Boy Advance,Racing,2003,8,19
"Monsters, Inc. Scream Team",7.5,Good,PlayStation,Platformer,2001,11,7
Moon Patrol EX,7.5,Good,Wireless,Action,2006,6,29
Mortal Kombat vs. DC Universe,7.5,Good,Xbox 360,Fighting,2008,11,15
Mortal Kombat vs. DC Universe,7.5,Good,PlayStation 3,Fighting,2008,11,15
Mortal Kombat vs. DC Universe (Kollector's Edition),7.5,Good,PlayStation 3,Fighting,2008,11,17
Mortal Kombat vs. DC Universe (Kollector's Edition),7.5,Good,Xbox 360,Fighting,2008,11,17
Moto Racer,7.5,Good,PlayStation,Racing,1997,11,3
MotoGP '07,7.5,Good,Wireless,Racing,2007,9,12
Mount & Blade: With Fire & Sword,7.5,Good,PC,RPG,2011,5,20
Ms. Pac-Man Maze Madness,7.5,Good,Nintendo 64,Action,2000,11,13
Muncher,7.5,Good,Wireless,"Puzzle, Action",2007,4,27
Murasaki Baby,7.5,Good,PlayStation Vita,Action,2014,9,16
Mushihimesama: Bug Panic,7.5,Good,iPhone,Shooter,2010,11,19
Music On: Electronic Keyboard,7.5,Good,Nintendo DSi,Music,2010,7,2
Music On: Retro Keyboard,7.5,Good,Nintendo DSi,Music,2010,7,21
Mutant Bash TV,7.5,Good,iPhone,Shooter,2010,11,18
Mutant Storm Reloaded,7.5,Good,Xbox 360,Shooter,2006,2,8
My Frogger Toy Trials,7.5,Good,Nintendo DS,Action,2006,11,9
MyNotebook: Carbon,7.5,Good,Nintendo DSi,Productivity,2010,8,18
MyNotebook: Pearl,7.5,Good,Nintendo DSi,Productivity,2010,9,2
Myst,7.5,Good,PlayStation Portable,Adventure,2009,8,13
NASCAR 07,7.5,Good,Xbox,Racing,2006,9,8
NASCAR 07,7.5,Good,PlayStation 2,Racing,2006,9,8
NASCAR 07 (3D Edition),7.5,Good,Wireless,Racing,2007,2,26
NBA '06,7.5,Good,PlayStation Portable,Sports,2005,9,27
NBA '08,7.5,Good,PlayStation 3,Sports,2007,9,26
NBA 2K10: Draft Combine,7.5,Good,Xbox 360,"Sports, Simulation",2009,8,26
NBA 2K8,7.5,Good,PlayStation 2,Sports,2007,10,5
NBA Courtside 2002,7.5,Good,GameCube,Sports,2002,1,23
NBA Jam,7.5,Good,Xbox 360,"Sports, Action",2010,11,17
NBA Jam,7.5,Good,PlayStation 3,"Sports, Action",2010,11,17
NBA Live 07 (3D Edition),7.5,Good,Wireless,Sports,2006,11,20
NCAA Football 07,7.5,Good,Xbox 360,Sports,2006,7,18
NERF N-Strike Elite,7.5,Good,Wii,Action,2009,11,3
NES Open Tournament Golf,7.5,Good,NES,Sports,2007,6,18
NES Open Tournament Golf,7.5,Good,Wii,Sports,2007,6,18
NFL 2010,7.5,Good,iPhone,Sports,2009,8,7
NFL Fever 2004,7.5,Good,Xbox,Sports,2003,8,29
NHL 2K11,7.5,Good,iPhone,Sports,2010,8,30
NHL 2K6,7.5,Good,Xbox 360,Sports,2005,11,15
Namco Museum Battle Collection,7.5,Good,PlayStation Portable,"Action, Compilation",2005,8,24
Nancy Drew: Legend of the Crystal Skull,7.5,Good,PC,Adventure,2007,10,17
Nancy Drew: The White Wolf of Icicle Creek,7.5,Good,Wii,Adventure,2008,12,16
Naruto Shippuden: Ninja Destiny 2,7.5,Good,Nintendo DS,Fighting,2009,9,11
Naruto: Ultimate Ninja,7.5,Good,PlayStation 2,Fighting,2006,6,26
Need for Speed Carbon: Own the City,7.5,Good,Nintendo DS,Racing,2006,11,3
Need for Speed Most Wanted 5-1-0,7.5,Good,PlayStation Portable,Racing,2005,11,8
Need for Speed Nitro-X,7.5,Good,Nintendo DSi,Racing,2010,11,16
Need for Speed: High Stakes,7.5,Good,PC,Racing,1999,6,29
Neo Turf Masters,7.5,Good,Wii,Sports,2008,8,19
Neutopia,7.5,Good,Wii,"Action, Adventure",2007,9,7
Neutopia,7.5,Good,TurboGrafx-16,Adventure,2007,9,7
Neutopia II,7.5,Good,Wii,"Action, RPG",2007,10,12
Neutopia II,7.5,Good,TurboGrafx-16,Adventure,2007,10,12
Neves,7.5,Good,Nintendo DS,Puzzle,2007,11,13
New Horizons,7.5,Good,Super NES,Strategy,2009,4,7
New York 3D Rollercoaster Rush,7.5,Good,iPhone,Puzzle,2010,2,17
Night at the Museum: Battle of the Smithsonian -- The Video Game,7.5,Good,Wii,Adventure,2009,5,13
Night at the Museum: Battle of the Smithsonian -- The Video Game,7.5,Good,Xbox 360,Adventure,2009,5,13
NightSky,7.5,Good,PC,Puzzle,2011,1,6
No More Heroes: Heroes' Paradise,7.5,Good,PlayStation 3,Action,2011,8,15
Numba,7.5,Good,iPhone,Puzzle,2008,7,28
NyxQuest: Kindred Spirits,7.5,Good,iPhone,Platformer,2011,8,25
O.M.G.,7.5,Good,Windows Phone,Action,2010,11,4
Obscure: The Aftermath,7.5,Good,PlayStation 2,"Action, Adventure",2008,3,25
Oddworld: Abe's Oddysee,7.5,Good,PlayStation,Adventure,1997,9,22
